Player,Pos,Team2026,AuctionValue,StatSource
Jahmyr Gibbs,RB,DET,57,2025 actual stats
Bijan Robinson,RB,ATL,56,2025 actual stats
Ja'Marr Chase,WR,CIN,56,2025 actual stats
Puka Nacua,WR,LAR,55,2025 actual stats
Jonathan Taylor,RB,IND,54,2025 actual stats
Jaxon Smith-Njigba,WR,SEA,53,2025 actual stats
Christian McCaffrey,RB,SF,52,2025 actual stats
Amon-Ra St. Brown,WR,DET,52,2025 actual stats
James Cook III,RB,BUF,51,2025 actual stats
CeeDee Lamb,WR,DAL,50,2025 actual stats
Justin Jefferson,WR,MIN,48,2025 actual stats
De'Von Achane,RB,MIA,46,2025 actual stats
Omarion Hampton,RB,LAC,45,2026 projection - only 9 games in 2025 (injury)
Chase Brown,RB,CIN,43,2025 actual stats
Saquon Barkley,RB,PHI,42,2025 actual stats
Derrick Henry,RB,BAL,40,2025 actual stats
Ashton Jeanty,RB,LV,38,2025 actual stats
Drake London,WR,ATL,37,2025 actual stats
Jeremiyah Love,RB,ARI,36,2026 projection - rookie / did not play 2025
A.J. Brown,WR,NE,35,2026 projection - changed teams (PHI->NE)
Trey McBride,TE,ARI,34,2025 actual stats
Brock Bowers,TE,LV,33,2025 actual stats
Nico Collins,WR,HOU,32,2025 actual stats
Chris Olave,WR,NO,32,2025 actual stats
Rashee Rice,WR,KC,31,2026 projection - only 8 games in 2025 (injury)
Josh Allen,QB,BUF,30,2025 actual stats
George Pickens,WR,DAL,30,2025 actual stats
Kenneth Walker III,RB,KC,29,2026 projection - changed teams (SEA->KC)
Garrett Wilson,WR,NYJ,28,2026 projection - only 8 games in 2025 (injury)
Breece Hall,RB,NYJ,27,2025 actual stats
Javonte Williams,RB,DAL,26,2025 actual stats
Kyren Williams,RB,LAR,25,2025 actual stats
Malik Nabers,WR,NYG,24,2026 projection - only 4 games in 2025 (injury)
DeVonta Smith,WR,PHI,23,2025 actual stats
Travis Etienne Jr.,RB,NO,22,2026 projection - changed teams (JAX->NO)
Tetairoa McMillan,WR,CAR,22,2025 actual stats
Zay Flowers,WR,BAL,22,2025 actual stats
Emeka Egbuka,WR,TB,21,2025 actual stats
Quinshon Judkins,RB,CLE,21,2025 actual stats
Ladd McConkey,WR,LAC,20,2025 actual stats
Tee Higgins,WR,CIN,19,2025 actual stats
Colston Loveland,TE,CHI,19,2025 actual stats
Lamar Jackson,QB,BAL,18,2025 actual stats
