Rank,Player,Pos,Team,SleeperAuction$
1,Jahmyr Gibbs,RB,DET,82
2,Bijan Robinson,RB,ATL,80
3,Ja'Marr Chase,WR,CIN,63
4,Christian McCaffrey,RB,SF,62
5,Jonathan Taylor,RB,IND,58
6,Puka Nacua,WR,LAR,55
7,Jaxon Smith-Njigba,WR,SEA,55
8,Amon-Ra St. Brown,WR,DET,54
9,James Cook,RB,BUF,51
10,Saquon Barkley,RB,PHI,50
11,CeeDee Lamb,WR,DAL,49
12,Justin Jefferson,WR,MIN,48
13,De'Von Achane,RB,MIA,46
14,Derrick Henry,RB,BAL,45
15,Ashton Jeanty,RB,LV,43
16,Omarion Hampton,RB,LAC,41
17,Chase Brown,RB,CIN,39
18,Kenneth Walker,RB,KC,37
19,A.J. Brown,WR,NE,37
20,Josh Allen,QB,BUF,36
21,Drake London,WR,ATL,34
22,Nico Collins,WR,HOU,34
23,Kyren Williams,RB,LAR,33
24,Brock Bowers,TE,LV,32
25,George Pickens,WR,DAL,32
26,Trey McBride,TE,ARI,32
27,Jeremiyah Love,RB,ARI,31
28,Malik Nabers,WR,NYG,31
29,Rashee Rice,WR,KC,30
30,Chris Olave,WR,NO,30
31,Breece Hall,RB,NYJ,30
32,Javonte Williams,RB,DAL,30
33,DeVonta Smith,WR,PHI,28
34,Lamar Jackson,QB,BAL,28
35,Ladd McConkey,WR,LAC,28
36,Tetairoa McMillan,WR,CAR,25
37,Cam Skattebo,RB,NYG,25
38,Tee Higgins,WR,CIN,23
39,Zay Flowers,WR,BAL,23
40,Travis Etienne,RB,NO,23
41,Emeka Egbuka,WR,TB,22
42,Josh Jacobs,RB,GB,22
43,Colston Loveland,TE,CHI,22
44,David Montgomery,RB,HOU,22
45,Jaylen Waddle,WR,DEN,21
46,Garrett Wilson,WR,NYJ,21
47,Bucky Irving,RB,TB,21
48,D'Andre Swift,RB,CHI,20
49,Quinshon Judkins,RB,CLE,20
50,Tyler Warren,TE,IND,20
51,Drake Maye,QB,NE,20
52,DJ Moore,WR,BUF,19
53,Joe Burrow,QB,CIN,18
54,Terry McLaurin,WR,WAS,17
55,Davante Adams,WR,LAR,17
56,Jadarian Price,RB,SEA,17
57,TreVeyon Henderson,RB,NE,16
58,Jameson Williams,WR,DET,16
59,Bhayshul Tuten,RB,JAX,16
60,Luther Burden,WR,CHI,16
61,Jalen Hurts,QB,PHI,16
62,Mike Evans,WR,SF,16
63,Rome Odunze,WR,CHI,16
64,Sam LaPorta,TE,DET,13
65,Christian Watson,WR,GB,12
66,Tucker Kraft,TE,GB,12
67,Jaylen Warren,RB,PIT,12
68,Carnell Tate,WR,TEN,12
69,Jayden Daniels,QB,WAS,12
70,Parker Washington,WR,JAX,12
71,Rhamondre Stevenson,RB,NE,11
72,Kyle Pitts,TE,ATL,11
73,Marvin Harrison,WR,ARI,11
74,Caleb Williams,QB,CHI,11
75,Brian Thomas,WR,JAX,11
76,Harold Fannin,TE,CLE,10
77,Tony Pollard,RB,TEN,10
78,DK Metcalf,WR,PIT,9
79,Justin Herbert,QB,LAC,9
80,Chuba Hubbard,RB,CAR,9
81,Courtland Sutton,WR,DEN,8
82,RJ Harvey,RB,DEN,8
83,Rico Dowdle,RB,PIT,8
84,George Kittle,TE,SF,8
85,J.K. Dobbins,RB,DEN,7
86,Dak Prescott,QB,DAL,7
87,Jonathon Brooks,RB,CAR,7
88,Makai Lemon,WR,PHI,7
89,Michael Wilson,WR,ARI,6
90,Chris Godwin,WR,TB,6
91,Dalton Kincaid,TE,BUF,6
92,Blake Corum,RB,LAR,6
93,Alec Pierce,WR,IND,5
94,Jordan Mason,RB,MIN,5
95,Travis Kelce,TE,KC,4
96,Los Angeles Rams,DEF,LAR,4
97,Kyle Monangai,RB,CHI,4
98,Trevor Lawrence,QB,JAX,3
99,Jacory Croskey-Merritt,RB,WAS,3
100,MarShawn Lloyd,RB,GB,3
101,Jordan Addison,WR,MIN,3
102,Jayden Reed,WR,GB,3
103,Quentin Johnston,WR,LAC,3
104,Michael Pittman,WR,PIT,3
105,Houston Texans,DEF,HOU,3
106,Matthew Stafford,QB,LAR,3
107,Kenny Gainwell,RB,TB,3
108,Jaxson Dart,QB,NYG,3
109,Isaiah Likely,TE,NYG,2
110,Stefon Diggs,WR,WAS,2
111,KC Concepcion,WR,CLE,2
112,Seattle Seahawks,DEF,SEA,2
113,Jordyn Tyson,WR,NO,2
114,Josh Downs,WR,IND,2
115,De'Zhaun Stribling,WR,SF,2
116,Jake Ferguson,TE,DAL,2
117,Patrick Mahomes,QB,KC,2
118,Aaron Jones,RB,MIN,1
119,Mike Washington,RB,LV,1
120,Bo Nix,QB,DEN,1
121,Matthew Golden,WR,GB,1
122,Wan'Dale Robinson,WR,TEN,1
123,Denver Broncos,DEF,DEN,1
124,Mark Andrews,TE,BAL,1
125,Rachaad White,RB,WAS,1
126,Dallas Goedert,TE,PHI,1
127,Chris Rodriguez,RB,JAX,1
128,Brock Purdy,QB,SF,1
129,Xavier Worthy,WR,KC,1
130,Romeo Doubs,WR,NE,1
131,Philadelphia Eagles,DEF,PHI,1
132,Tyler Allgeier,RB,ARI,1
133,Deebo Samuel,WR,SF,1
134,Jakobi Meyers,WR,JAX,1
135,Woody Marks,RB,HOU,1
136,Baltimore Ravens,DEF,BAL,1
137,New England Patriots,DEF,NE,1
138,Brandon Aubrey,K,DAL,1
139,Cameron Dicker,K,LAC,1
140,Jason Myers,K,SEA,1
